Wall time,Step,Value
1597578990.316033,0,0.8120090961456299
1597579063.44442,1,0.7740152478218079
1597579144.427471,2,0.735316812992096
1597579225.247006,3,0.7415708303451538
1597579298.313231,4,0.737201452255249
1597579371.411195,5,0.7442862391471863
1597579444.414257,6,0.745998740196228
1597579517.528932,7,0.7117931246757507
1597579590.464184,8,0.7073257565498352
1597579663.583854,9,0.7027901411056519
1597579736.633145,10,0.6886444687843323
1597579809.68545,11,0.7008208632469177
1597579882.725162,12,0.7093404531478882
1597579955.801874,13,0.6990286111831665
