Wall time,Step,Value
1597578990.317148,0,0.5211111307144165
1597579063.444673,1,0.49222221970558167
1597579144.427727,2,0.504444420337677
1597579225.24744,3,0.4911110997200012
1597579298.313404,4,0.5088889002799988
1597579371.411336,5,0.5144444704055786
1597579444.414435,6,0.5
1597579517.529192,7,0.5288888812065125
1597579590.464446,8,0.5522222518920898
1597579663.583999,9,0.551111102104187
1597579736.633405,10,0.5844444632530212
1597579809.685714,11,0.5388888716697693
1597579882.725335,12,0.5422222018241882
1597579955.802127,13,0.5388888716697693
