Wall time,Step,Value
1597550852.061863,0,0.5011110901832581
1597550910.042396,1,0.49222221970558167
1597550962.865241,2,0.5133333206176758
1597551016.136573,3,0.5066666603088379
1597551069.436837,4,0.5266666412353516
1597551128.506171,5,0.5111111402511597
1597551181.505328,6,0.54666668176651
1597551234.857272,7,0.5444444417953491
1597551288.168309,8,0.5422222018241882
1597551341.310552,9,0.5422222018241882
1597551394.48025,10,0.5344444513320923
1597551447.34708,11,0.5355555415153503
1597551500.335763,12,0.551111102104187
1597551559.198296,13,0.5366666913032532
1597551612.527024,14,0.5388888716697693
1597551665.579373,15,0.54666668176651
1597551718.565031,16,0.5444444417953491
1597551771.756545,17,0.5333333611488342
1597551824.922507,18,0.5488888621330261
1597551877.635499,19,0.5455555319786072
1597551929.403056,20,0.5755555629730225
1597551981.084312,21,0.5777778029441833
1597552032.998998,22,0.5844444632530212
1597552084.789271,23,0.6188889145851135
