Wall time,Step,Value
1597578023.250677,0,0.503333330154419
1597578058.816976,1,0.49666666984558105
1597578091.528584,2,0.5055555701255798
1597578124.341948,3,0.47999998927116394
1597578157.079325,4,0.5122222304344177
1597578192.956233,5,0.5155555605888367
1597578225.742684,6,0.5055555701255798
1597578261.647248,7,0.5088889002799988
1597578297.537676,8,0.5277777910232544
1597578330.388565,9,0.5288888812065125
1597578363.27882,10,0.5322222113609314
1597578396.197688,11,0.5333333611488342
1597578429.057659,12,0.5322222113609314
1597578461.779828,13,0.5477777719497681
1597578494.551583,14,0.5555555820465088
1597578527.308737,15,0.5755555629730225
1597578562.748427,16,0.5422222018241882
1597578595.410315,17,0.5688889026641846
1597578627.915435,18,0.5822222232818604
1597578660.536287,19,0.54666668176651
1597578693.528228,20,0.5533333420753479
1597578726.54571,21,0.5699999928474426
1597578759.445417,22,0.5699999928474426
1597578792.18761,23,0.6188889145851135
1597578824.981428,24,0.6044444441795349
1597578857.757198,25,0.6266666650772095
1597578890.651824,26,0.6499999761581421
