Wall time,Step,Value
1597578023.250502,0,0.9272682070732117
1597578058.816725,1,0.791286826133728
1597578091.528408,2,0.7650787234306335
1597578124.341695,3,0.7976789474487305
1597578157.079069,4,0.7593594789505005
1597578192.955973,5,0.7339097857475281
1597578225.742494,6,0.7182034850120544
1597578261.646689,7,0.7154479026794434
1597578297.537291,8,0.7183337807655334
1597578330.388308,9,0.7302678823471069
1597578363.27863,10,0.7261416912078857
1597578396.197429,11,0.7147098183631897
1597578429.057485,12,0.7135716676712036
1597578461.779648,13,0.7054088711738586
1597578494.551405,14,0.7014068365097046
1597578527.308559,15,0.6884249448776245
1597578562.747981,16,0.7056393623352051
1597578595.410118,17,0.6920251846313477
1597578627.915255,18,0.67637038230896
1597578660.536109,19,0.7017807960510254
1597578693.528053,20,0.6934118866920471
1597578726.54554,21,0.6894115805625916
1597578759.445241,22,0.6841621398925781
1597578792.187428,23,0.664380669593811
1597578824.981248,24,0.6644597053527832
1597578857.756994,25,0.666739284992218
1597578890.651564,26,0.6438185572624207
