Wall time,Step,Value
1597552353.433068,0,0.7818043828010559
1597552365.147957,1,0.7301568984985352
1597552376.140302,2,0.7142118215560913
1597552387.594406,3,0.7198357582092285
1597552399.828454,4,0.7076136469841003
1597552410.842972,5,0.7087041139602661
1597552421.995357,6,0.6886093616485596
1597552433.707284,7,0.6795071959495544
1597552445.18276,8,0.6598056554794312
1597552456.405905,9,0.6591162085533142
1597552467.46014,10,0.6580038666725159
1597552478.728118,11,0.6250548362731934
1597552489.837407,12,0.6650450229644775
1597552501.341028,13,0.6416050791740417
1597552512.83441,14,0.6396813988685608
