Wall time,Step,Value
1597589925.50083,0,0.5488888621330261
1597590007.905332,1,0.554444432258606
1597590090.168112,2,0.5555555820465088
1597590153.778085,3,0.5555555820465088
1597590217.458498,4,0.5555555820465088
1597590281.130953,5,0.5555555820465088
1597590363.248272,6,0.5555555820465088
1597590426.80725,7,0.5555555820465088
1597590490.415575,8,0.5555555820465088
1597590553.928744,9,0.5555555820465088
1597590617.551383,10,0.5555555820465088
1597590681.258659,11,0.5555555820465088
1597590744.926795,12,0.5555555820465088
1597590808.61711,13,0.5555555820465088
1597590872.324531,14,0.5555555820465088
1597590935.924714,15,0.5555555820465088
1597590999.074985,16,0.5555555820465088
