Wall time,Step,Value
1597552353.433218,0,0.504444420337677
1597552365.148226,1,0.5233333110809326
1597552376.140551,2,0.5366666913032532
1597552387.594672,3,0.5244444608688354
1597552399.828712,4,0.5400000214576721
1597552410.843221,5,0.5344444513320923
1597552421.995607,6,0.54666668176651
1597552433.707546,7,0.5733333230018616
1597552445.183027,8,0.6277777552604675
1597552456.406155,9,0.6177777647972107
1597552467.46042,10,0.6200000047683716
1597552478.728375,11,0.6677777767181396
1597552489.837674,12,0.6166666746139526
1597552501.341291,13,0.6611111164093018
1597552512.834682,14,0.6577777862548828
