Wall time,Step,Value
1597370451.649109,0,0.32475727796554565
1597370492.274294,1,0.3183838129043579
1597370533.053376,2,0.3108254075050354
1597370573.661779,3,0.30563977360725403
1597370614.596684,4,0.3042437434196472
1597370655.479758,5,0.30173036456108093
1597370696.173435,6,0.3000310957431793
1597370736.961938,7,0.29860806465148926
1597370777.624809,8,0.29811397194862366
1597370818.940538,9,0.2972548007965088
1597370859.536585,10,0.29672831296920776
1597370900.121182,11,0.2966848611831665
1597370940.710645,12,0.2962946593761444
1597370981.354875,13,0.2964304983615875
1597371022.169604,14,0.2959343492984772
1597371062.769941,15,0.29542088508605957
1597371103.36021,16,0.29486483335494995
1597371144.151279,17,0.2957226634025574
1597371184.948202,18,0.2943587303161621
1597371225.490001,19,0.29486221075057983
1597371266.230339,20,0.29403212666511536
1597371306.917028,21,0.2949722707271576
1597371347.561296,22,0.2939521074295044
1597371388.191793,23,0.29406940937042236
1597371428.953983,24,0.29399657249450684
1597371468.744174,25,0.29375895857810974
1597371508.368556,26,0.29412299394607544
1597371548.047888,27,0.2934880554676056
1597371587.650031,28,0.29386261105537415
1597371627.255916,29,0.29357898235321045
1597371666.892481,30,0.29353949427604675
