Wall time,Step,Value
1597510703.175122,0,0.4532611668109894
1597511095.397027,1,0.4532611668109894
1597511486.075947,2,0.4532611668109894
1597511875.318546,3,0.4532611668109894
1597512268.033499,4,0.4532611668109894
1597512660.061073,5,0.4532611668109894
1597513049.970315,6,0.4532611668109894
1597513438.104028,7,0.4532611668109894
1597513826.951862,8,0.4532611668109894
1597514214.550146,9,0.4532611668109894
1597514603.679273,10,0.4532611668109894
1597514990.990405,11,0.4532611668109894
1597515378.917714,12,0.4532611668109894
1597515770.640292,13,0.4532611668109894
1597516161.741978,14,0.4532611668109894
1597516550.083995,15,0.4532611668109894
1597516937.799789,16,0.4532611668109894
1597517325.292017,17,0.4532611668109894
1597517713.79396,18,0.4532611668109894
1597518105.809849,19,0.4532611668109894
1597518496.553535,20,0.4532611668109894
