Wall time,Step,Value
1597370451.649266,0,0.4532611668109894
1597370492.274572,1,0.45328015089035034
1597370533.05364,2,0.45326030254364014
1597370573.661961,3,0.4532611668109894
1597370614.59697,4,0.4532610774040222
1597370655.48001,5,0.4532610774040222
1597370696.173698,6,0.4532611668109894
1597370736.962194,7,0.4532611668109894
1597370777.625069,8,0.4532611668109894
1597370818.940785,9,0.4532611668109894
1597370859.536845,10,0.4532610774040222
1597370900.121447,11,0.4532611668109894
1597370940.710905,12,0.4532611668109894
1597370981.355121,13,0.4532611668109894
1597371022.169862,14,0.4532611668109894
1597371062.770189,15,0.4532611668109894
1597371103.36047,16,0.4532611668109894
1597371144.151536,17,0.4532611668109894
1597371184.948454,18,0.4532611668109894
1597371225.490248,19,0.4532611668109894
1597371266.230589,20,0.4532611668109894
1597371306.917288,21,0.4532611668109894
1597371347.561541,22,0.4532611668109894
1597371388.192038,23,0.4532611668109894
1597371428.954227,24,0.4532611668109894
1597371468.744418,25,0.4532611668109894
1597371508.368801,26,0.4532611668109894
1597371548.048134,27,0.4532611668109894
1597371587.650274,28,0.4532611668109894
1597371627.256162,29,0.4532611668109894
1597371666.892726,30,0.4532611668109894
